Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
ToastNotification		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\wondershare\wondershare nativepush\wstoastnotification.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ToastNotification		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\wondershare\wondershare nativepush\wstoastnotification.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\programs\microsoft vs code\code.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\local\programs\microsoft vs code\code.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\programs\microsoft vs code\code.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\local\programs\microsoft vs code\code.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
VLC media player		Public	Yes	Allow	No	C:\program files (x86)\videolan\vlc\vlc.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
VLC media player		Public	Yes	Block	No	C:\program files\videolan\vlc\vlc.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
VLC media player		Public	Yes	Allow	No	C:\program files (x86)\videolan\vlc\vlc.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
VLC media player		Public	Yes	Block	No	C:\program files\videolan\vlc\vlc.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
zoom.exe		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\roaming\zoom\bin\zoom.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
zoom.exe		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\roaming\zoom\bin\zoom.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
zoom.exe		Private	Yes	Allow	No	C:\users\sharanya dasgupta\appdata\roaming\zoom\bin\zoom.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
zoom.exe		Public	Yes	Block	No	C:\users\sharanya dasgupta\appdata\roaming\zoom\bin\zoom.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
@FirewallAPI.dll,-28853	@FirewallAPI.dll,-28852	All	No	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	3389	Any	Any	Any	Any	Any	None	Any	
